Date,Total Deaths,Change in Total,Change in Total (%)
Apr. 15,134560,7959,6%
Apr. 14,126601,6983,6%
Apr. 13,119618,5421,5%
Apr. 12,114197,5417,5%
Apr. 11,108780,6092,6%
Apr. 10,102688,6974,7%
Apr. 9,95714,7234,8%
Apr. 8,88480,6417,8%
Apr. 7,82063,7385,10%
Apr. 6,74678,5231,8%
Apr. 5,69447,4739,7%
Apr. 4,64708,5799,10%
Apr. 3,58909,5720,11%
Apr. 2,53189,5979,13%
Apr. 1,47210,4890,12%
Mar. 31,42320,4537,12%
Mar. 30,37783,3709,11%
Mar. 29,34074,3211,10%
Mar. 28,30863,3518,13%
Mar. 27,27345,3271,14%
Mar. 26,24074,2791,13%
Mar. 25,21283,2388,13%
Mar. 24,18895,2381,14%
Mar. 23,16514,1874,13%
Mar. 22,14640,1629,13%
Mar. 21,13011,1625,14%
Mar. 20,11386,1356,14%
Mar. 19,10030,1079,12%
Mar. 18,8951,972,12%
Mar. 17,7979,817,11%
Mar. 16,7162,642,10%
Mar. 15,6520,687,12%
Mar. 14,5833,405,7%
Mar. 13,5428,447,9%
Mar. 12,4981,353,8%
Mar. 11,4628,332,8%
Mar. 10,4296,271,7%
Mar. 9,4025,198,5%
Mar. 8,3827,228,6%
Mar. 7,3599,105,3%
Mar. 6,3494,107,3%
Mar. 5,3387,102,3%
Mar. 4,3285,83,3%
Mar. 3,3202,85,3%
Mar. 2,3117,67,2%
Mar. 1,3050,73,2%
Feb. 29,2977,54,2%
Feb. 28,2923,65,2%
Feb. 27,2858,58,2%
Feb. 26,2800,37,1%
Feb. 25,2763,64,2%
Feb. 24,2699,81,3%
Feb. 23,2618,158,6%
Feb. 22,2460,100,4%
Feb. 21,2360,113,5%
Feb. 20,2247,121,6%
Feb. 19,2126,117,6%
Feb. 18,2009,136,7%
Feb. 17,1873,98,6%
Feb. 16,1775,106,6%
Feb. 15,1669,143,9%
Feb. 14,1526,143,10%
Feb. 13,1383,122,10%
Feb. 12,1261,146,13%
Feb. 11,1115,97,10%
Feb. 10,1018,108,12%
Feb. 9,910,97,12%
Feb. 8,813,89,12%
Feb. 7,724,86,13%
Feb. 6,638,73,13%
Feb. 5,565,73,15%
Feb. 4,492,66,15%
Feb. 3,426,64,18%
Feb. 2,362,58,19%
Feb. 1,304,45,17%
Jan. 31,259,46,22%
Jan. 30,213,43,25%
Jan. 29,170,38,29%
Jan. 28,132,26,25%
Jan. 27,106,26,33%
Jan. 26,80,24,43%
Jan. 25,56,15,37%
Jan. 24,41,16,64%
Jan. 23,25,8,47%
